unigram,frekuensi
yang,4946
dan,3980
dengan,2145
dalam,1998
pada,1776
untuk,1641
ini,1419
dari,1340
di,1330
dapat,1007
atau,981
penelitian,798
1,781
adalah,739
indonesia,731
tidak,670
2,652
sebagai,640
the,599
lingkungan,596
hasil,595
data,593
3,575
oleh,552
pembelajaran,539
akan,521
of,515
siswa,511
tersebut,499
dilakukan,474
secara,459
menggunakan,458
a,455
proses,452
menjadi,437
bahasa,435
bahwa,434
lebih,408
juga,403
and,403
pendidikan,401
merupakan,398
terhadap,387
digunakan,384
yaitu,377
model,366
metode,360
4,360
hal,352
informasi,352
jurnal,351
memiliki,350
bahan,344
aplikasi,334
baik,328
sistem,320
itu,320
energi,316
5,316
gambar,316
serta,314
tahun,307
bakar,302
nilai,301
universitas,300
melalui,299
satu,298
karena,295
belajar,289
sehingga,289
tentang,287
pengujian,279
telah,279
lain,278
ada,277
in,277
sangat,274
berdasarkan,274
masyarakat,272
no,271
sumber,270
seperti,268
teknologi,260
analisis,260
tabel,260
suatu,253
responden,250
al,249
hidup,246
seluruh,239
hukum,238
maka,237
kesehatan,233
tanpa,232
media,231
manusia,227
sampah,224
salah,222
karya,222
guru,222
kepada,219
to,216
beberapa,211
hanya,210
sekolah,207
ke,206
bisa,205
s,205
melakukan,204
2020,202
orang,202
bagi,201
berbasis,199
kelas,197
kegiatan,195
setiap,195
saat,194
bentuk,192
kitab,191
sebagian,190
peserta,189
ilmu,186
sesuai,183
area,182
atas,179
didik,177
komunikasi,176
memberikan,175
menjawab,175
medan,174
kata,172
berbagai,171
banyak,171
pengguna,171
sebuah,171
maupun,170
2019,170
mental,170
sebesar,170
harus,169
dilarang,168
terdapat,168
et,167
motor,166
mereka,166
ilmiah,166
nasional,165
masalah,165
learning,164
setuju,164
antara,162
bangsa,162
teknik,158
kebutuhan,158
tinggi,157
vol,157
jakarta,157
kelompok,156
terjadi,156
permasalahan,155
2021,155
daya,155
kemudian,155
kemampuan,153
agar,152
diri,151
is,149
sudah,149
jumlah,148
6,147
aspek,147
pendekatan,147
penggunaan,146
waktu,146
nomor,145
2022,145
negara,144
mesin,144
2018,144
volume,143
cara,142
i,142
pengembangan,142
baru,141
menurut,140
undangundang,139
hadis,139
design,139
adanya,136
d,136
12,134
pengaruh,133
dasar,133
kehidupan,133
besar,132
taman,132
bin,131
ekspor,130
m,130
pangan,128
budaya,128
konsep,128
jenis,125
11,124
mengenai,123
tujuan,123
mampu,122
desain,122
8,122
c,122
berikut,120
