bigram,frekuensi
"('bahan', 'bakar')",244
"('medan', 'area')",173
"('peserta', 'didik')",172
"('universitas', 'medan')",172
"('et', 'al')",166
"('lingkungan', 'hidup')",135
"('teknologi', 'informasi')",131
"('bahasa', 'indonesia')",127
"('kesehatan', 'mental')",109
"('taman', 'lingkungan')",99
"('kitab', 'wahyu')",90
"('pembelajaran', 'berbasis')",86
"('hasil', 'belajar')",86
"('pendidikan', 'penelitian')",85
"('hak', 'cipta')",83
"('repositoryumaacid', 'universitas')",82
"('penulisan', 'karya')",82
"('area', 'document')",82
"('document', 'accepted')",82
"('undangundang', '1')",82
"('access', 'from')",82
"('from', 'repositoryumaacid')",82
"('of', 'the')",82
"('3', 'dilarang')",82
"('sumber', '2')",82
"('ilmiah', '3')",82
"('dilarang', 'mengutip')",82
"('1', 'dilarang')",82
"('bentuk', 'apapun')",82
"('mencantumkan', 'sumber')",82
"('dilarang', 'memperbanyak')",82
"('karya', 'ilmiah')",82
"('keperluan', 'pendidikan')",82
"('121219', 'access')",82
"('lindungi', 'undangundang')",82
"('2', 'pengutipan')",82
"('accepted', '121219')",82
"('izin', 'universitas')",82
"('konsumsi', 'bahan')",80
"('berbasis', 'proyek')",78
"('model', 'pembelajaran')",74
"('design', 'thinking')",72
"('sekolah', 'dasar')",66
"('metode', 'penelitian')",66
"('jurnal', 'ilmiah')",63
"('hasil', 'pengujian')",63
"('klasifikasi', 'intensi')",62
"('journal', 'of')",61
"('generasi', 'z')",61
"('aplikasi', 'multiplatform')",60
"('budaya', 'indonesia')",58
"('pembelajaran', 'kooperatif')",57
"('berpikir', 'kritis')",57
"('hasil', 'penelitian')",57
"('sumber', 'daya')",57
"('literasi', 'kesehatan')",55
"('nomor', '1')",55
"('no', '1')",55
"('ketahanan', 'pangan')",53
"('metode', 'pembelajaran')",52
"('sepeda', 'motor')",52
"('identitas', 'nasional')",51
"('tpst', 'piyungan')",50
"('in', 'the')",50
"('ilmu', 'komputer')",49
"('proses', 'pembelajaran')",49
"('pengelolaan', 'lingkungan')",49
"('konsultasi', 'hukum')",49
"('belajar', 'siswa')",47
"('berdasarkan', 'hasil')",46
"('bangsa', 'indonesia')",46
"('desa', 'wisata')",46
"('jurnal', 'teknologi')",45
"('keterampilan', 'berpikir')",45
"('ketahanan', 'energi')",44
"('multiplatform', 'berbasis')",43
"('ilmiah', 'ilmu')",43
"('jikap', 'pgsd')",42
"('ilmu', 'kependidikan')",42
"('sampah', 'organik')",41
"('komputer', 'jtiik')",41
"('pgsd', 'jurnal')",41
"('ss', '4')",40
"('based', 'learning')",40
"('xf', '1')",40
"('respon', 'x')",40
"('ts', '2')",40
"('no', 'respon')",40
"('x', 'f')",40
"('f', 'xf')",40
"('176', 'responden')",40
"('total', '176')",40
"('s', '3')",40
"('pertumbuhan', 'ekonomi')",40
"('respon', 'siswa')",39
"('siswa', 'no')",39
"('pembangkit', 'listrik')",39
"('perangkat', 'lunak')",39
"('kesadaran', 'lingkungan')",38
"('project', 'based')",38
"('kegiatan', 'konsultasi')",37
"('belajar', 'mengajar')",37
"('republik', 'indonesia')",36
"('1', '2')",36
"('sma', 'negeri')",36
"('1', '1')",36
"('learning', 'rate')",36
"('pembelajaran', 'bahasa')",35
"('3', 'nomor')",35
"('volume', '3')",35
"('lean', 'ux')",35
"('3', 's')",35
"('2', 'ts')",35
"('sts', '1')",35
"('4', 'ss')",35
"('1', 'sts')",35
"('al', '2018')",35
"('tafsere', 'volume')",35
"('proses', 'belajar')",34
"('gambar', '1')",34
"('gas', 'buang')",33
"('pelajar', 'pgsd')",33
"('hukum', 'lingkungan')",33
"('al', '2020')",32
"('tabel', '1')",32
"('program', 'studi')",32
"('siklus', 'ii')",32
"('jtiik', 'vol')",32
"('to', 'speech')",32
"('text', 'to')",31
"('sekolah', 'indonesia')",31
"('premium', 'pertalite')",31
"('12', 'no')",31
"('vol', '12')",31
"('bakar', 'premium')",31
"('undangundang', 'no')",30
"('den', 'haag')",30
"('budi', 'budaya')",30
"('this', 'study')",30
"('siklus', 'i')",30
"('berbasis', 'budi')",30
"('adegan', 'perselingkuhan')",30
"('layangan', 'putus')",30
"('sistem', 'pencernaan')",29
"('panas', 'bumi')",29
"('indonesia', 'den')",29
"('user', 'experience')",29
"('sumber', 'belajar')",29
"('salah', 'satunya')",29
"('5', 'no1')",29
"('jakarta', 'pusat')",29
"('vol', '5')",29
"('haag', 'sidh')",29
"('pengumpulan', 'data')",28
"('data', 'latih')",28
"('pendidikan', 'pancasila')",28
"('on', 'the')",28
"('user', 'interface')",28
"('no', '2')",28
"('modul', 'praktikum')",28
"('krs', 'lab')",28
"('model', 'diet')",28
"('analisis', 'sentimen')",28
"('motor', 'bensin')",28
"('motor', 'bakar')",27
"('kearifan', 'lokal')",27
"('hadis', 'nabi')",27
"('this', 'research')",27
"('nave', 'bayes')",27
"('energi', 'terbarukan')",26
"('live', 'chat')",26
"('tipe', 'jigsaw')",26
"('nomor', '2')",26
"('9', 'imam')",26
"('cd', 'rom')",26
"('bahasa', 'informal')",26
"('daftar', 'pustaka')",26
"('aplikasi', 'mobile')",25
"('pemeliharaan', 'taman')",25
"('mata', 'pelajaran')",25
"('2', '2')",25
"('segmentasi', 'pelanggan')",25
"('universitas', 'negeri')",25
"('tarian', 'kreatif')",25
"('is', 'a')",25
"('proyek', 'project')",25
"('putaran', 'mesin')",25
"('media', 'sosial')",25
"('daya', 'manusia')",25
"('kelurahan', 'galur')",25
"('ver', '12')",24
"('www', 'lidwapusakacom')",24
"('volume', '8')",24
"('rom', 'www')",24
"('lidwapusakacom', '2010')",24
"('12', 'cd')",24
"('hadits', 'kitab')",24
"('cdhk91', 'ver')",24
"('pendidikan', 'karakter')",24
"('listrik', 'tenaga')",24
"('april', '2025')",24
"('imam', 'cdhk91')",24
"('8', 'nomor')",24
"('ensiklopedi', 'hadits')",24
"('gambar', '2')",24
"('2025', 'hlm')",24
"('media', 'pembelajaran')",24
"('sistem', 'informasi')",24
"('tabel', '3')",23
"('gambar', '4')",23
"('universitas', 'brawijaya')",23
"('oktober', '2024')",23
"('rumah', 'tangga')",23
"('kitab', '9')",23
"('gambar', '3')",23
"('emisi', 'gas')",23
"('sastra', 'apokaliptik')",22
"('orang', 'percaya')",22
"('2010', 'hadis')",22
"('root', 'cause')",22
"('kemampuan', 'literasi')",22
"('sistem', 'text')",22
"('1', 'no')",22
"('al', '2022')",22
"('pola', 'interaksi')",22
"('nabi', 'saw')",21
"('raja', 'nasution')",21
"('tabel', '2')",21
"('memenuhi', 'kebutuhan')",21
"('ruang', 'terbuka')",21
"('lubis', 'associates')",21
"('early', 'stopping')",21
"('isu', 'sampah')",21
"('conference', 'on')",21
"('pengaruh', 'ekspor')",21
"('nasution', 'lily')",21
"('3', '2')",21
"('mata', 'kuliah')",21
"('energi', 'nasional')",21
"('lily', 'lubis')",21
"('ilmu', 'pengetahuan')",21
"('sidh', 'belanda')",21
"('chat', 'streaming')",21
"('helpdesk', 'tik')",21
"('based', 'on')",20
"('n', 'a')",20
"('algoritma', 'kmeans')",20
"('proses', 'pembakaran')",20
"('1', 'kawali')",20
"('bobot', 'loss')",20
"('konsep', 'sabar')",20
"('energi', 'listrik')",20
"('analisis', 'data')",20
"('no', '5')",20
"('2', 'april')",20
"('siswa', 'kelas')",20
"('hasil', 'uji')",20
"('lingkungan', 'masyarakat')",19
"('analisis', 'isi')",19
"('jurnal', 'teknik')",19
"('no', '11')",19
"('gaya', 'hidup')",19
"('jakarta', 'pt')",19
"('3', 'no')",19
"('stopping', 'patience')",19
"('perspektif', 'hadis')",19
"('gambar', '5')",19
"('kantor', 'hukum')",19
"('jconnect', 'mobile')",19
"('pandemi', 'covid19')",19
"('model', 'tarian')",19
"('hukum', 'raja')",19
"('muhammad', 'ali')",19
