trigram,frekuensi
"('universitas', 'medan', 'area')",172
"('sumber', '2', 'pengutipan')",82
"('keperluan', 'pendidikan', 'penelitian')",82
"('penulisan', 'karya', 'ilmiah')",82
"('izin', 'universitas', 'medan')",82
"('from', 'repositoryumaacid', 'universitas')",82
"('accepted', '121219', 'access')",82
"('1', 'dilarang', 'mengutip')",82
"('document', 'accepted', '121219')",82
"('medan', 'area', 'document')",82
"('karya', 'ilmiah', '3')",82
"('mencantumkan', 'sumber', '2')",82
"('121219', 'access', 'from')",82
"('access', 'from', 'repositoryumaacid')",82
"('area', 'document', 'accepted')",82
"('repositoryumaacid', 'universitas', 'medan')",82
"('3', 'dilarang', 'memperbanyak')",82
"('lindungi', 'undangundang', '1')",82
"('undangundang', '1', 'dilarang')",82
"('ilmiah', '3', 'dilarang')",82
"('konsumsi', 'bahan', 'bakar')",77
"('pembelajaran', 'berbasis', 'proyek')",77
"('jurnal', 'teknologi', 'informasi')",44
"('pengelolaan', 'lingkungan', 'hidup')",43
"('jurnal', 'ilmiah', 'ilmu')",42
"('aplikasi', 'multiplatform', 'berbasis')",42
"('ilmiah', 'ilmu', 'kependidikan')",42
"('ilmu', 'komputer', 'jtiik')",41
"('pgsd', 'jurnal', 'ilmiah')",41
"('jikap', 'pgsd', 'jurnal')",41
"('no', 'respon', 'x')",40
"('f', 'xf', '1')",40
"('x', 'f', 'xf')",40
"('respon', 'x', 'f')",40
"('respon', 'siswa', 'no')",39
"('siswa', 'no', 'respon')",39
"('project', 'based', 'learning')",38
"('keterampilan', 'berpikir', 'kritis')",36
"('kegiatan', 'konsultasi', 'hukum')",36
"('3', 'nomor', '1')",35
"('tafsere', 'volume', '3')",35
"('3', 's', '3')",35
"('4', 'ss', '4')",35
"('volume', '3', 'nomor')",35
"('xf', '1', 'sts')",35
"('2', 'ts', '2')",35
"('1', 'sts', '1')",35
"('et', 'al', '2018')",35
"('hasil', 'belajar', 'siswa')",33
"('et', 'al', '2020')",32
"('komputer', 'jtiik', 'vol')",32
"('model', 'pembelajaran', 'kooperatif')",31
"('text', 'to', 'speech')",31
"('vol', '12', 'no')",31
"('multiplatform', 'berbasis', 'budi')",30
"('budi', 'budaya', 'indonesia')",30
"('vol', '5', 'no1')",29
"('sekolah', 'indonesia', 'den')",29
"('indonesia', 'den', 'haag')",29
"('den', 'haag', 'sidh')",29
"('bahan', 'bakar', 'premium')",27
"('berbasis', 'budi', 'budaya')",26
