document_name,sentence_number,preprocessed_tokens
0. Desti_Selasar 7_2023.pdf,1,1 seminar nasional pembelajaran bahasa dan sastra selasar 7 issn 2541349x proceedings visualisasi teks ke gambar dengan kekuatan ai art generator potensi atau masalah
0. Desti_Selasar 7_2023.pdf,2,desti nur aini universitas negeri malang destinurfsumacid abstrak visualisasi teks berbahasa jerman menjadi gambar menggunakan kecerdasan buatan memiliki potensi yang menarik namun juga bisa menghadapi beberapa tantangan
0. Desti_Selasar 7_2023.pdf,3,untuk mengungkapkan konsep dan pengalaman visual yang unik dalam penggunaan ai artificial intelligence tulisan ini perlu menyoroti tiga dimensi penting yang terlibat dalam setiap prosesnya yaitu dimensi estetika penggunaan warna komposisi dan harmoni visual dimensi interpretasi komprehensi antara seni tema dan simbol dan dimensi kreativitas kombinasi gambar dan narasitekstual
0. Desti_Selasar 7_2023.pdf,4,data berupa interpretasi mahasiswa dalam puisi nachtzauber karya joseph von eichendorff
0. Desti_Selasar 7_2023.pdf,5,analisis dilakukan dengan tahapan pemrosesan teks pengujian dan penyesuaian evaluasi dan rekomendasi
0. Desti_Selasar 7_2023.pdf,6,hasil dari penelitian ini secara estetika adalah transformasi puisi menjadi bentuk visual dimaknai oleh warna yang dominan sebagai warna temaram dan misterius dan ada kontras warna serta keseimbangan tiap objek dalam gambar sehingga memunculkan harmonisasi secara visual
0. Desti_Selasar 7_2023.pdf,7,secara interpretatif mahasiswa mengedepankan keluasan kosakata dalam memprediksi pemahaman bacaan dan mengasah daya kritis terhadap isuisu yang berkaitan dengan sastra budaya dan identitas dalam karya sastra
0. Desti_Selasar 7_2023.pdf,8,secara kreatif kombinasi gambar dengan interpretasi puisi yang tercipta menarik dan memicu imajinasi
0. Desti_Selasar 7_2023.pdf,9,pertama hal ini bergantung kepada kreativitas mahasiswa dalam penciptaan narasi kedua kreativitas ai sendiri dalam menerjemahkan puisi ke dalam bentuk gambar memadukan elemen visual secara inovatif
0. Desti_Selasar 7_2023.pdf,10,di satu sisi potensi ai dalam kerangka pembelajaran bahasa jerman sebagai bahasa asing memberikan perspektif baru dalam visualisasi teks puisi serta memunculkan ide yang unik dan cukup orisinil
0. Desti_Selasar 7_2023.pdf,11,sebaliknya tantangan yang dihadapi untuk dipertimbangkan lebih lanjut adalah munculnya subjektivitas interpretasi kesalahan pemahaman bahkan keterbatasan kreativitas itu sendiri
0. Desti_Selasar 7_2023.pdf,12,dampak kelanjutan kontribusi dominasi ai dapat menghilangkan ruh dari kebahasaan itu sendiri dan proses ini telah hidup sendiri tanpa terintegrasi dengan maksud esensi penggunaan bahasa sebagai simbol interaksi yang harmoni
0. Desti_Selasar 7_2023.pdf,13,kata kunci artificial intelligence bahasa jerman gambar interpretasi teks puisi
0. Desti_Selasar 7_2023.pdf,14,pendahuluan sebagai bagian integral dari kehidupan manusia sejak lama karya seni diciptakan sebagai cara untuk mengungkapkan diri menggambarkan dunia disekitarnya dan berinteraksi dengan dunia
0. Desti_Selasar 7_2023.pdf,15,seni mencakup banyak hal namum tulisan ini akan mengkhususkan pada salah satu bentuknya yaitu karya sastra
0. Desti_Selasar 7_2023.pdf,16,karya sastra berperan kuat dan memungkinkan penulis untuk mengungkapkan 2 seminar nasional pembelajaran bahasa dan sastra selasar 7 issn 2541349x proceedings diri mereka dengan cara yang personal dan eksploratif
0. Desti_Selasar 7_2023.pdf,17,penggunaan karakter dialog narasi dan pemilihan katakata yang tepat untuk menciptakan pemikiran perasaan dan pengalaman yang mungkin sulit atau tidak mungkin diungkapkan secara langsung dalam kehidupan seharihari dapat dieksplorasi di dalam bentuk sebuah karya sastra
0. Desti_Selasar 7_2023.pdf,18,sastra sendiri menjadi medium untuk menggali kompleksitas emosi manusia konflik batin dan perjalanan pribadi seseorang
0. Desti_Selasar 7_2023.pdf,19,selain itu karya sastra juga mampu menggambarkan dunia dengan cara yang unik dan subjektif
0. Desti_Selasar 7_2023.pdf,20,bahasa dan imajinasi digunakan untuk menciptakan gambaran tentang tempat waktu dan situasi yang berbedabeda
0. Desti_Selasar 7_2023.pdf,21,dalam proses menciptakan narasi dan karakter karya sastra sering kali memperhatikan detaildetail kecil yang bisa mencerminkan realitas yang lebih luas
0. Desti_Selasar 7_2023.pdf,22,melalui karya sastra penulis bisa menggambarkan realitas sosial politik budaya atau bahkan realitas dalam batin manusia
0. Desti_Selasar 7_2023.pdf,23,berbagai genre karya sastra menciptakan realitas yang unik baik itu dalam bentuk cerita fiksi puisi atau drama
0. Desti_Selasar 7_2023.pdf,24,dalam realitas yang diciptakan ini penulis dan pembaca dapat berinteraksi dengan ideide konflik dan tema yang dihadirkan dan memahami hubungan berbagai elemen di dalamnya nur aini et al 2021
0. Desti_Selasar 7_2023.pdf,25,pembaca terlibat dalam proses interpretasi dan pemahaman karya sastra membentuk persepsi mereka sendiri tentang realitas yang ditawarkan oleh penulis
0. Desti_Selasar 7_2023.pdf,26,interaksi ini memberikan kesempatan untuk mempertanyakan dan merenungkan aspekaspek kehidupan moralitas dan makna eksistensial sehingga seseorang akan terampil dalam menghubungkan komponen komponen nontekstual dengan komponenkomponen tekstual dalam sebuah karya sastra
0. Desti_Selasar 7_2023.pdf,27,berbagai pemaknaan melalui karya sastra ditemukan sebagai kekuatan untuk menghubungkan pembaca dengan pengalaman manusia yang luas
0. Desti_Selasar 7_2023.pdf,28,interaksi demikian mengajak kita untuk melihat dunia melalui perspektif lain merasakan emosi yang mungkin belum pernah dialami dan mengeksplorasi kompleksitas kehidupan dengan lebih dalam aini 2017
0. Desti_Selasar 7_2023.pdf,29,beberapa pendekatan dalam memahami makna sebagai kebebasan ekspresi yang luas di dalam sebuah teks sastra diantaranya yaitu transformasi puisi ke dalam bentuk visual
0. Desti_Selasar 7_2023.pdf,30,transformasi puisi ke dalam bentuk visual dapat dilakukan melalui berbagai cara kreatif misalnya dengan melakukan tipografi kreatif yaitu menggunakan gaya huruf ukuran dan penempatan yang berbeda untuk mempertegas pesan dan perasaan yang ingin disampaikan dalam puisi
0. Desti_Selasar 7_2023.pdf,31,cara lain adalah dengan ilustrasi dan gambar yaitu membuat ilustrasi yang terinspirasi dari puisi tersebut menggali makna dalam puisi dan menggambar elemen visual yang merepresentasikan perasaan atau objek yang disebutkan dalam puisi
0. Desti_Selasar 7_2023.pdf,32,yang menjadikan sebuah gambar menjadi estetis adalah penggunaan warna dan komposisi yang sesuai sehingga membangun harmonisasi visual
0. Desti_Selasar 7_2023.pdf,33,ada caracara kreatif lain yang ditemukan dalam beberapa kajian ilmiah yang menggunakan animasi fadhillanisa hertiasa 2014 kolase visual ramadhan 2018 musikalisasi puisi ismayani 2017 bahkan jika memungkinkan diperlukan instalasi seni yang terinspirasi dari puisi dengan menggunakan berbagai media dan objek untuk menciptakan pengalaman sensorik yang menarik dalam hal ini misalnya pameran dalam bentuk proyeksi cahaya instalasi objek fisik atau kombinasi elemenelemen multimedia untuk menyampaikan pesan puisi dengan cara yang baru misalnya digitalisasi puisi isnah 2012
